"","P-value_thresh","PC1_var_explained(%)","PC2_var_explained(%)","PC1-PC5_var_explained(%)","PC1-PC10_var_explained(%)","top_r_comps_explain_80%","total_components"
"row","RESIDresults_p_val_0_0001.rds","0.376","0.328","1.625","2.987","563","1183"
"row.1","RESIDresults_p_val_0_0005.rds","0.318","0.311","1.522","2.908","563","1184"
"row.2","RESIDresults_p_val_0_001.rds","0.35","0.327","1.582","2.974","562","1189"
"row.3","RESIDresults_p_val_0_005.rds","0.57","0.332","1.828","3.275","557","1183"
"row.4","RESIDresults_p_val_0_01.rds","0.705","0.335","1.995","3.472","553","1179"
"row.5","RESIDresults_p_val_0_05.rds","0.828","0.42","2.313","3.914","540","1164"
"row.6","RESIDresults_p_val_0_1.rds","0.778","0.462","2.377","4.08","534","1151"
"row.7","RESIDresults_p_val_1.rds","0.684","0.5","2.405","4.196","524","1136"
"row.8","RESIDresults_p_val_1e-05.rds","0.646","0.576","2.435","4.166","468","915"
"row.9","RESIDresults_p_val_1e-06.rds","8.264","7.833","29.711","46.983","24","42"
"row.10","RESIDresults_p_val_1e-07.rds","16.286","12.462","46.443","71.964","12","20"
"row.11","RESIDresults_p_val_5e-05.rds","0.419","0.364","1.67","3.043","563","1183"
"row.12","RESIDresults_p_val_5e-06.rds","2.055","1.239","6.535","10.625","185","306"
"row.13","RESIDresults_p_val_5e-07.rds","8.373","8.205","30.221","47.329","23","38"
"row.14","RESIDresults_p_val_5e-08.rds","16.388","12.752","46.495","72.134","12","20"
